timestamp,Run,Rate,MB/sec,Resp,
03/22/2024-09:56:07-CST,format_for_rd-clean,0,0,0
03/22/2024-09:56:09-CST,format_for_72th-1MB-200MB-write,744,744,47.7914
03/22/2024-09:56:10-CST,format_for_72th-1MB-200MB-write,1355,1355,53.0757
03/22/2024-09:56:11-CST,format_for_72th-1MB-200MB-write,1382,1382,52.6862
03/22/2024-09:56:12-CST,format_for_72th-1MB-200MB-write,1383,1383,52.3129
03/22/2024-09:56:13-CST,format_for_72th-1MB-200MB-write,1365,1365,52.4026
03/22/2024-09:56:14-CST,format_for_72th-1MB-200MB-write,1371,1371,52.4432
03/22/2024-09:56:15-CST,format_for_72th-1MB-200MB-write,1370,1370,52.3891
03/22/2024-09:56:16-CST,format_for_72th-1MB-200MB-write,1391,1391,52.551
03/22/2024-09:56:17-CST,format_for_72th-1MB-200MB-write,1362,1362,52.5434
03/22/2024-09:56:18-CST,format_for_72th-1MB-200MB-write,1374,1374,52.1049
03/22/2024-09:56:19-CST,format_for_72th-1MB-200MB-write,1368,1368,50.5987
03/22/2024-09:56:20-CST,format_for_72th-1MB-200MB-write,1381,1381,52.0879
03/22/2024-09:56:21-CST,format_for_72th-1MB-200MB-write,1374,1374,52.8427
03/22/2024-09:56:22-CST,format_for_72th-1MB-200MB-write,1373,1373,52.344
03/22/2024-09:56:23-CST,format_for_72th-1MB-200MB-write,1369,1369,52.3017
03/22/2024-09:56:24-CST,format_for_72th-1MB-200MB-write,1387,1387,52.3813
03/22/2024-09:56:25-CST,format_for_72th-1MB-200MB-write,1368,1368,52.5971
03/22/2024-09:56:26-CST,format_for_72th-1MB-200MB-write,1376,1376,52.3445
03/22/2024-09:56:27-CST,format_for_72th-1MB-200MB-write,1360,1360,52.5126
03/22/2024-09:56:28-CST,format_for_72th-1MB-200MB-write,1372,1372,52.3929
03/22/2024-09:56:29-CST,format_for_72th-1MB-200MB-write,1387,1387,52.0653
03/22/2024-09:56:30-CST,format_for_72th-1MB-200MB-write,1360,1360,50.7462
03/22/2024-09:56:31-CST,format_for_72th-1MB-200MB-write,1371,1371,52.9239
03/22/2024-09:56:32-CST,format_for_72th-1MB-200MB-write,1384,1384,52.5301
03/22/2024-09:56:33-CST,format_for_72th-1MB-200MB-write,1365,1365,52.3918
03/22/2024-09:56:34-CST,format_for_72th-1MB-200MB-write,1370,1370,52.4766
03/22/2024-09:56:35-CST,format_for_72th-1MB-200MB-write,1371,1371,52.3879
03/22/2024-09:56:36-CST,format_for_72th-1MB-200MB-write,1376,1376,52.3728
03/22/2024-09:56:37-CST,format_for_72th-1MB-200MB-write,1371,1371,52.3678
03/22/2024-09:56:38-CST,format_for_72th-1MB-200MB-write,1374,1374,52.4517
03/22/2024-09:56:39-CST,format_for_72th-1MB-200MB-write,1389,1389,52.3005
03/22/2024-09:56:40-CST,format_for_72th-1MB-200MB-write,1375,1375,51.4833
03/22/2024-09:56:41-CST,format_for_72th-1MB-200MB-write,1376,1376,51.004
03/22/2024-09:56:42-CST,format_for_72th-1MB-200MB-write,1373,1373,52.5972
03/22/2024-09:56:43-CST,format_for_72th-1MB-200MB-write,1361,1361,52.4239
03/22/2024-09:56:44-CST,format_for_72th-1MB-200MB-write,1384,1384,52.6854
03/22/2024-09:56:45-CST,format_for_72th-1MB-200MB-write,1367,1367,52.364
03/22/2024-09:56:46-CST,format_for_72th-1MB-200MB-write,1366,1366,52.2786
03/22/2024-09:56:47-CST,format_for_72th-1MB-200MB-write,1384,1384,52.5895
03/22/2024-09:56:48-CST,format_for_72th-1MB-200MB-write,1376,1376,52.3537
03/22/2024-09:56:49-CST,format_for_72th-1MB-200MB-write,1369,1369,52.0605
03/22/2024-09:56:50-CST,format_for_72th-1MB-200MB-write,1381,1381,51.9098
03/22/2024-09:56:51-CST,format_for_72th-1MB-200MB-write,1370,1370,52.5854
03/22/2024-09:56:52-CST,format_for_72th-1MB-200MB-write,1365,1365,51.7731
03/22/2024-09:56:53-CST,format_for_72th-1MB-200MB-write,1379,1379,50.9578
03/22/2024-09:56:54-CST,format_for_72th-1MB-200MB-write,1375,1375,52.8153
03/22/2024-09:56:55-CST,format_for_72th-1MB-200MB-write,1371,1371,52.2473
03/22/2024-09:56:56-CST,format_for_72th-1MB-200MB-write,1380,1380,52.6754
03/22/2024-09:56:57-CST,format_for_72th-1MB-200MB-write,1369,1369,52.4423
03/22/2024-09:56:58-CST,format_for_72th-1MB-200MB-write,1383,1383,50.9715
03/22/2024-09:56:59-CST,format_for_72th-1MB-200MB-write,1367,1367,52.7144
03/22/2024-09:57:00-CST,format_for_72th-1MB-200MB-write,1365,1365,53.0649
03/22/2024-09:57:01-CST,format_for_72th-1MB-200MB-write,1382,1382,52.3368
03/22/2024-09:57:02-CST,format_for_72th-1MB-200MB-write,1367,1367,52.2684
03/22/2024-09:57:03-CST,format_for_72th-1MB-200MB-write,1376,1376,52.5243
03/22/2024-09:57:04-CST,format_for_72th-1MB-200MB-write,1366,1366,52.1447
03/22/2024-09:57:05-CST,format_for_72th-1MB-200MB-write,1392,1392,51.0091
03/22/2024-09:57:06-CST,format_for_72th-1MB-200MB-write,1358,1358,52.6209
03/22/2024-09:57:07-CST,format_for_72th-1MB-200MB-write,1383,1383,51.6604
03/22/2024-09:57:08-CST,format_for_72th-1MB-200MB-write,1374,1374,52.5995
03/22/2024-09:57:09-CST,format_for_72th-1MB-200MB-write,1376,1376,52.2201
03/22/2024-09:57:10-CST,format_for_72th-1MB-200MB-write,1369,1369,52.8328
03/22/2024-09:57:11-CST,format_for_72th-1MB-200MB-write,1362,1362,52.3887
03/22/2024-09:57:12-CST,format_for_72th-1MB-200MB-write,1388,1388,52.2983
03/22/2024-09:57:13-CST,format_for_72th-1MB-200MB-write,1372,1372,52.1001
03/22/2024-09:57:14-CST,format_for_72th-1MB-200MB-write,1385,1385,52.7706
